"id"|"tweet"|"created_at"
"699995475986919424"|"A handful of people on Wall Street have extraordinary power. In 2008, their illegal behavior nearly destroyed the U.S. and global economy."|"Wed Feb 17 16:35:01 +0000 2016"
"699981639560998912"|"I believe when we stand together, when we share the vision that government should work for all of us, there is nothing we can't accomplish."|"Wed Feb 17 15:40:02 +0000 2016"
"699956987719602180"|"This government belongs to all of us, not just a wealthy few. That is what this campaign is about. That is the political revolution."|"Wed Feb 17 14:02:05 +0000 2016"
"699928590083706880"|"RT @BenJealous: Bernie has heeded Dr. King's advice: a genuine leader is not a searcher for consensus but a molder of consensus https://t.c…"|"Wed Feb 17 12:09:14 +0000 2016"
"699785602837839873"|"RT @ariannaijones: 'Single-issue' candidate Bernie Sanders touches on 20 issues during a Michigan campaign stop https://t.co/9T7YQu0bYZ"|"Wed Feb 17 02:41:03 +0000 2016"
"699784855349886976"|"I will lead the effort for comprehensive immigration reform and a path toward citizenship."|"Wed Feb 17 02:38:05 +0000 2016"
"699776969282424833"|"I ask you to join me in this campaign to build a future that works for all of us, and not just the few on top. https://t.co/keIzoR3r5T"|"Wed Feb 17 02:06:45 +0000 2016"
"699776058602627072"|"RT @Jeremy11alive: Feel the Bern: on stage now, @berniesanders at @Morehouse #11Alive https://t.co/nlyUG5Sffe"|"Wed Feb 17 02:03:08 +0000 2016"
"699761592603291648"|"RT @11AliveNews: WATCH LIVE: @KillerMike introduces @BernieSanders at #Morehouse: https://t.co/OU75MK88As https://t.co/Lzy7sfKYYu"|"Wed Feb 17 01:05:39 +0000 2016"
"699760696418906112"|"The decision about abortion is a decision for a woman and her doctor to make, not the government."|"Wed Feb 17 01:02:05 +0000 2016"
"699742520167817216"|"RT @Jeremy11alive: How @Morehouse welcomes @BernieSanders VIDEO: https://t.co/zzv975jGQA"|"Tue Feb 16 23:49:52 +0000 2016"
"699740807667019776"|"Over 20 percent of our children are living in poverty -  the highest rate of childhood poverty of almost any major country on earth."|"Tue Feb 16 23:43:03 +0000 2016"
"699730503797071872"|"When voter turnout is high, Democrats and progressives win. When voter turnout is low and people are demoralized, Republicans win."|"Tue Feb 16 23:02:07 +0000 2016"
"699721059944140800"|"Learn what you need to know to caucus for Bernie in Nevada! Then commit to caucus here: https://t.co/X3ACxiQQg5
https://t.co/HqiVa8n1hQ"|"Tue Feb 16 22:24:35 +0000 2016"
"699705083030695937"|"Real change comes about when large numbers of ordinary Americans get involved in the democratic process. https://t.co/BVY5RGNTat"|"Tue Feb 16 21:21:06 +0000 2016"
"699698842854408195"|"RT @DSladeNews: Crowd on their feet applauding Bernie Sanders for saying no to super pacs and Wall Street money https://t.co/tlw1i2DP8A"|"Tue Feb 16 20:56:18 +0000 2016"
"699698406160203778"|"RT @JustinBamberg: Yet another packed house. @BernieSanders addressed the crowd in Charleston, SC. #FeelTheBern 
✊🏽🇺🇸✊🏽🔥🔥 https://t.co/Na52…"|"Tue Feb 16 20:54:34 +0000 2016"
"699697695825510401"|" Enough is enough of our police officers targeting people of color.  - South Carolina Rep. Wendell Gilliard https://t.co/AscbgVnUWb"|"Tue Feb 16 20:51:45 +0000 2016"
"699674828937306112"|"RT @maryaliceparks: Eric Garner's daughter Erica joins @BernieSanders in SC https://t.co/zy0606VOsS"|"Tue Feb 16 19:20:53 +0000 2016"
